P1,P2,P3,P4,P4.1,P5,P5.1,P5.2,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,Resultado
2,1,2,4:00:00,1,1,0,0,10,0:00:00,21111,2,1,1,1,1,1,12,111,1,0,111,1,1,1,0,30,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,2,2,1:15:00,2,1,0,0,14,0:00:00,21111,2,0,1,1,1,1,21,111,2,2,111,1,1,0,1,15,1111111111,1,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,6:00:00,1,1,0,0,12,0:00:00,21111,2,1,2,0,1,1,22,111,1,1,111,1,1,0,0,53,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,7:00:00,2,1,0,0,13,0:00:00,21111,2,1,1,1,1,1,11,221,1,1,111,1,1,0,0,45,1111111111,2,1,1,1,1,2,1,1,1,,,,,,,1
2,1,2,8:00:00,1,1,0,0,9,0:00:00,21111,2,1,1,1,1,0,12,221,1,1,111,1,1,0,0,53,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,9:00:00,2,1,0,0,12,0:00:00,21111,2,1,2,1,3,1,21,221,1,1,111,1,1,0,0,49,1111111111,2,1,1,1,1,1,0,1,1,,,,,,,1
2,1,2,10:00:00,1,1,0,0,7,0:00:00,21111,2,1,1,1,1,1,22,221,1,1,111,1,1,2,0,27,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,11:00:00,2,1,0,0,11,0:00:00,21111,1,1,1,1,1,1,12,111,1,1,111,1,1,0,0,24,1111111111,2,1,1,0,1,1,1,1,0,,,,,,,1
2,1,2,12:00:00,1,1,0,0,8,0:00:00,21111,1,1,1,1,1,1,21,111,1,1,111,1,1,0,0,50,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,13:00:00,1,1,0,0,10,0:00:00,21111,1,1,1,1,1,1,22,111,1,1,111,1,1,0,0,23,1111111111,2,1,1,1,1,0,1,1,1,,,,,,,1
2,1,2,14:00:00,1,1,0,0,14,0:00:00,21111,1,1,1,1,1,2,11,221,1,1,111,1,1,0,0,48,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,15:00:00,1,1,0,0,9,0:00:00,21111,1,1,1,1,1,1,12,221,1,1,111,1,1,0,0,51,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,16:00:00,1,1,0,0,12,0:00:00,21111,1,1,1,1,1,2,21,221,1,1,111,1,0,0,0,49,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,17:00:00,1,1,0,0,11,0:00:00,21111,1,1,1,1,1,1,22,221,1,1,111,1,0,0,0,34,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,18:00:00,1,1,0,0,10,0:00:00,21111,0,1,1,1,1,1,12,111,1,1,111,1,0,1,0,20,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,19:00:00,1,0,0,0,9,0:00:00,21111,0,1,1,1,1,1,21,111,1,1,111,1,2,1,0,53,1111111111,2,1,1,1,1,1,1,0,1,,,,,,,1
2,1,2,20:00:00,1,1,0,0,11,0:00:00,21111,0,1,1,1,1,1,22,111,1,1,111,1,2,1,0,40,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,21:00:00,1,1,0,0,8,0:00:00,21111,0,2,1,1,1,1,11,221,1,1,111,1,2,1,0,56,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,22:00:00,1,1,0,0,13,0:00:00,21111,0,1,1,1,1,1,12,221,1,1,111,1,0,1,0,44,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,23:00:00,1,1,0,0,14,0:00:00,21111,0,1,1,1,1,1,21,221,1,1,111,1,0,1,0,20,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,24:00:00,1,1,0,0,9,0:00:00,21111,0,1,1,1,1,1,22,221,1,1,111,1,0,1,0,46,1111111111,1,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,25:00:00,1,1,0,0,12,0:00:00,11111,0,1,1,1,1,1,12,111,1,1,111,1,0,1,0,25,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,26:00:00,1,1,0,0,11,0:00:00,11111,0,1,1,1,1,1,21,111,1,1,111,1,0,1,0,38,1111111111,2,1,1,1,1,1,1,1,1,,,,,,,1
2,1,2,27:00:00,1,1,0,0,10,0:00:00,11111,0,1,1,1,1,1,22,111,1,1,111,1,0,1,0,35,1111111111,2,1,1,1,0,1,1,1,1,,,,,,,1
