P1,P2,P3,P4,P4.1,P5,P5.1,P5.2,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,Resultado
2,1,2,14400,1,1,0,0,10,0,21111,2,1,1,1,1,1,12,111,1,0,111,1,1,1,0,30,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,2,2,4500,2,1,0,0,14,0,21111,2,0,1,1,1,1,21,111,2,2,111,1,1,0,1,15,1111111111,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,21600,1,1,0,0,12,0,21111,2,1,2,0,1,1,22,111,1,1,111,1,1,0,0,53,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,25200,2,1,0,0,13,0,21111,2,1,1,1,1,1,11,221,1,1,111,1,1,0,0,45,1111111111,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1
2,1,2,28800,1,1,0,0,9,0,21111,2,1,1,1,1,0,12,221,1,1,111,1,1,0,0,53,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,32400,2,1,0,0,12,0,21111,2,1,2,1,3,1,21,221,1,1,111,1,1,0,0,49,1111111111,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
2,1,2,36000,1,1,0,0,7,0,21111,2,1,1,1,1,1,22,221,1,1,111,1,1,2,0,27,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,39600,2,1,0,0,11,0,21111,1,1,1,1,1,1,12,111,1,1,111,1,1,0,0,24,1111111111,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
2,1,2,43200,1,1,0,0,8,0,21111,1,1,1,1,1,1,21,111,1,1,111,1,1,0,0,50,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,46800,1,1,0,0,10,0,21111,1,1,1,1,1,1,22,111,1,1,111,1,1,0,0,23,1111111111,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
2,1,2,50400,1,1,0,0,14,0,21111,1,1,1,1,1,2,11,221,1,1,111,1,1,0,0,48,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,54000,1,1,0,0,9,0,21111,1,1,1,1,1,1,12,221,1,1,111,1,1,0,0,51,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,57600,1,1,0,0,12,0,21111,1,1,1,1,1,2,21,221,1,1,111,1,0,0,0,49,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,61200,1,1,0,0,11,0,21111,1,1,1,1,1,1,22,221,1,1,111,1,0,0,0,34,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,64800,1,1,0,0,10,0,21111,0,1,1,1,1,1,12,111,1,1,111,1,0,1,0,20,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,68400,1,0,0,0,9,0,21111,0,1,1,1,1,1,21,111,1,1,111,1,2,1,0,53,1111111111,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
2,1,2,72000,1,1,0,0,11,0,21111,0,1,1,1,1,1,22,111,1,1,111,1,2,1,0,40,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,75600,1,1,0,0,8,0,21111,0,2,1,1,1,1,11,221,1,1,111,1,2,1,0,56,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,79200,1,1,0,0,13,0,21111,0,1,1,1,1,1,12,221,1,1,111,1,0,1,0,44,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,82800,1,1,0,0,14,0,21111,0,1,1,1,1,1,21,221,1,1,111,1,0,1,0,20,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,86400,1,1,0,0,9,0,21111,0,1,1,1,1,1,22,221,1,1,111,1,0,1,0,46,1111111111,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,90000,1,1,0,0,12,0,11111,0,1,1,1,1,1,12,111,1,1,111,1,0,1,0,25,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,93600,1,1,0,0,11,0,11111,0,1,1,1,1,1,21,111,1,1,111,1,0,1,0,38,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,97200,1,1,0,0,10,0,11111,0,1,1,1,1,1,22,111,1,1,111,1,0,1,0,35,1111111111,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
2,2,1,5400,1,1,0,0,6,0,11111,0,1,1,1,1,1,22,221,1,1,111,1,0,1,0,13,1111111111,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
2,1,2,104400,1,1,0,0,5,0,11111,0,1,1,1,1,1,12,221,1,1,111,1,0,1,0,36,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,108000,1,0,0,0,7,0,11111,0,1,1,1,1,1,21,221,1,1,111,1,0,1,0,31,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,111600,1,1,0,0,1,0,11111,0,1,1,1,1,1,22,221,2,1,111,1,0,0,0,67,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,115200,1,1,0,0,2,0,11111,1,1,1,1,1,1,12,111,1,1,111,1,0,0,0,17,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,118800,1,1,0,0,3,0,11111,1,1,1,1,1,1,21,111,1,0,111,1,0,0,0,46,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,122400,1,1,0,0,4,0,11111,1,1,1,1,1,1,22,111,1,1,111,1,0,0,0,51,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,126000,1,1,0,0,1,0,11111,1,1,1,1,1,1,11,221,1,1,111,1,0,0,0,17,1111111111,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
2,1,2,129600,1,1,0,0,3,0,11111,1,1,1,1,1,1,12,221,1,1,111,1,0,0,0,22,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,133200,1,1,0,0,4,0,11111,1,1,1,0,1,1,21,221,1,1,111,1,0,0,0,48,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,136800,1,1,0,0,3,0,11111,1,1,1,1,1,1,22,221,1,1,111,1,0,0,0,22,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,140400,1,1,0,0,3,0,11111,2,2,1,1,1,1,12,111,1,1,111,0,0,0,0,68,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1,2,144000,1,1,0,0,5,0,11111,2,1,0,1,1,1,21,111,1,1,111,1,0,0,0,43,1111111111,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
